,Product Name,Price,Body Material,Body Shape,Body Finish,Neck Material,Neck Finish,Neck Shape,Scale Length,Fingerboard Material,Fingerboard Radius,Number of Frets,Fret Size,Nut Material,Nut Width,Position Inlays,Truss Rod,Bridge Pickup,Neck Pickup,Controls,Configuration,Bridge,Hardware Finish,Tuning Machines,Pickguard,Control Knobs,Strings,Legal Notice,Case/Gig Bag,Included Accessories,Neck Construction,Side Dots,Truss Rod Nut,Middle Pickup,Switching,Neck Plate,Recommended Case,Special Electronics,Auxillary Switching,Neck Binding,Other Features,Body Binding
10,Mini Precision Bass®,169.00 €,Pioppo,Mini Precision Bass®,Gloss Polyurethane,Maple,Satin Urethane,"""C"" Shape","28.6"" (726 mm)",Indian Laurel,"9.5"" (241 mm)",20,Narrow Tall,Synthetic Bone,"1.5"" (38.1 mm)",A Punto in Pearloid,Head Adjust,,Split Single-Coil Precision Bass®,"Volume, Tone",Split Single-Coil,4-Saddle Vintage-Style,Chrome,Die-Cast Sealed,1-Ply White,Knurled Flat-Top,Nickel Plated Steel (.040-.095 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,,,,,,None,4-Bolt Squier®,,,,,,
11,American Professional II Jazz Bass®,"2,249.00 €",Pino roasted,Jazz Bass®,Gloss Urethane,Maple,“Super-Natural” Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"Slim ""C""","34"" (864 mm)",Maple,"9.5"" (241 mm)",20,Narrow Tall,Bone,"1.5"" (38.1 mm)",A Punto Nero,Posiflex™ Graphite Neck Support Rods,V-Mod II Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle HiMass™ Vintage (String-Through-Body or Top-Load),Nickel/Chrome,Fender® Lightweight Vintage-Style Keys with Tapered Shafts,3-Ply Black,Black Plastic,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Deluxe Molded Case (Included),,4-Bolt,Black,,V-Mod II Single-Coil Jazz Bass®,None,,,,,,,
12,Troy Sanders Precision Bass®,"1,749.00 €",Ontano,Precision Bass®,Gloss Polyester,Maple,Satin Urethane with Matched Headcap,Custom '70s Precision Bass®,"34"" (86.36 cm)",Slab Rosewood,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",Blocchetti Bianchi in Pearloid con Intarsio Custom Mastodon al 12° Tasto,Head Adjust,Custom Troy Sanders Single-Coil Jazz Bass®,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",PJ,4-Saddle HiMass™ Vintage (String-Through-Body or Top-Load),Nickel/Chrome,Standard Open-Gear,3-Ply Black/White/Black,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt,White,"3/16"" Hex Adjustment",Custom Troy Sanders Split-Coil Precision Bass®,Pan Pot,"4-Bolt with Custom Mastodon Logo, Serialized",,Fender Custom 18-volt Preamp,Active/Passive Toggle Switch,,,
13,Player Plus Precision Bass® Mancino,"1,219.00 €",Ontano,Precision Bass®,Gloss Polyester,Maple,Satin Urethane,"Modern ""C""","34"" (86.36 cm)",Maple,"12"" (305 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",A Punto Nero,"Single Action, Head Adjust",Player Plus Noiseless™ Jazz Bass®,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",PJ,Fender HiMass™ with Chrome-Plated Zinc Saddles,Nickel/Chrome,Standard Open-Gear,3-Ply Mint Green,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt,Black,"3/16"" Hex Adjustment",Player Plus Precision Bass®,Pan Pot,4-Bolt,,,Active/Passive Toggle Switch,,,
14,American Professional II Precision Bass®,"2,209.00 €",Ontano,Precision Bass®,Gloss Urethane,Maple,“Super-Natural” Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"1963 ""C""","34"" (864 mm)",Maple,"9.5"" (241 mm)",20,Narrow Tall,Bone,"1.625"" (41.3 mm)",A Punto Nero,Posiflex™ Graphite Neck Support Rods,,,"Master Volume, Master Tone",S,4-Saddle HiMass™ Vintage (String-Through-Body or Top-Load),Nickel/Chrome,Fender® Lightweight Vintage-Style Keys with Tapered Shafts,3-Ply Mint Green,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Deluxe Molded Case (Included),,4-Bolt,Black,,V-Mod II Split Single-Coil Precision Bass®,None,,,,,,,
15,American Vintage II 1954 Precision Bass®,"2,599.00 €",Frassino,Precision Bass®,Gloss Nitrocellulose Lacquer,1-Piece Maple,Gloss Nitrocellulose Lacquer,"1954 ""C""","34"" (86.36 cm)",Maple,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.70"" (43.2 mm)",A Punto Nero,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",S,"Pure Vintage 2-Saddle Precision Bass® with Fiber Saddles, Serialized",Nickel/Chrome,Pure Vintage Reverse Open-Gear,1-Ply Parchment,Knurled Dome,"Fender® USA 9050L Stainless Steel Flatwound (.045-.100 Gauges), PN 0739050403",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Tweed (Crushed Red Interior),,4-Bolt,Black,Vintage-Style Butt Adjust,Pure Vintage '54 Single-Coil Precision®,None,4-Bolt,,,,,,
16,MonoNeon Jazz Bass® V,"1,729.00 €",Ontano,Jazz Bass®,Gloss Polyester,Roasted Maple,Satin Urethane with Gloss Urethane Headstock Face,"Modern ""C""","34"" (86.36 cm)",Roasted Maple,"10"" to 14"" Compound Radius (254 mm to 355.6 mm)",22,Vintage,Bone,"1.875"" (47.6 mm)",Perlato a Blocchetto,"Single Action, Head Adjust",Custom Fireball® 5-string Bass Humbucking,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",HH,5-Saddle HiMass™ (Toploaded),Gold-Plated,Standard Open-Gear,"3-Ply White, Painted in High Visibility Orange",Black Plastic,Nickel Plated Steel (.045-.125 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt,White,"3/16"" Hex Adjustment",Custom Fireball® 5-string Bass Humbucking,Pan Pot,4-Bolt Vintage style with Custom MonoNeon Art,,3-Band EQ (Active Only),Active/Passive Toggle Switch,,,
17,American Vintage II 1966 Jazz Bass® Left-Hand,"2,419.00 €",Ontano,Jazz Bass®,Gloss Nitrocellulose Lacquer,Maple,Gloss Nitrocellulose Lacquer,"1966 ""U""","34"" (86.36 cm)",Bound Round-Laminated Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.5"" (38.1 mm)",Bianchi a Punto in Pearloid - 7 mm,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,Pure Vintage 4-Saddle with Threaded Steel Saddles,Nickel/Chrome,Pure Vintage ‘Lollipop’,4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Black (Orange Interior),,4-Bolt,Black,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,None,"4-Bolt with ""F"" Logo, Serialized",,,,1-Ply White,,
18,American Vintage II 1966 Jazz Bass®,"2,509.00 €",Ontano,Jazz Bass®,Gloss Nitrocellulose Lacquer,Maple,Gloss Nitrocellulose Lacquer,"1966 ""U""","34"" (86.36 cm)",Bound Round-Laminated Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.5"" (38.1 mm)",Bianchi a Punto in Pearloid - 7 mm,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,Pure Vintage 4-Saddle with Threaded Steel Saddles,Nickel/Chrome,Pure Vintage ‘Lollipop’,4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Black (Orange Interior),,4-Bolt,Black,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,None,"4-Bolt Serialized with ""F"" Logo",,,,1-Ply White,,
19,American Vintage II 1954 Precision Bass®,"2,599.00 €",Frassino,Precision Bass®,Gloss Nitrocellulose Lacquer,1-Piece Maple,Gloss Nitrocellulose Lacquer,"1954 ""C""","34"" (86.36 cm)",Maple,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.70"" (43.2 mm)",A Punto Nero,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",S,"Pure Vintage 2-Saddle Precision Bass® with Fiber Saddles, Serialized",Nickel/Chrome,Pure Vintage Reverse Open-Gear,1-Ply Parchment,Knurled Dome,"Fender® USA 9050L Stainless Steel Flatwound (.045-.100 Gauges), PN 0739050403",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Tweed (Crushed Red Interior),,4-Bolt,Black,Vintage-Style Butt Adjust,Pure Vintage '54 Single-Coil Precision®,None,4-Bolt,,,,,,
20,American Vintage II 1960 Precision Bass®,"2,499.00 €",Ontano,Precision Bass®,Gloss Nitrocellulose Lacquer,Maple,Gloss Nitrocellulose Lacquer,"1960 ""C""","34"" (86.36 cm)",Slab Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.70"" (43.2 mm)",Clay Dot,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",Split Single-Coil,Pure Vintage 4-Saddle with Threaded Steel Saddles,Nickel/Chrome,Pure Vintage Reverse Open-Gear,4-Ply Tortoiseshell,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Brown (Orange Interior),,4-Bolt,Vintage Clay,Vintage-Style Butt Adjust,Pure Vintage '60 Split-Coil Precision®,None,4-Bolt Serialized,,,,,,
21,American Vintage II 1966 Jazz Bass® Left-Hand,"2,419.00 €",Ontano,Jazz Bass®,Gloss Nitrocellulose Lacquer,Maple,Gloss Nitrocellulose Lacquer,"1966 ""U""","34"" (86.36 cm)",Bound Round-Laminated Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.5"" (38.1 mm)",Bianchi a Punto in Pearloid - 7 mm,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,"4-Saddle American Vintage Bass with Threaded Steel ""Barrel"" Saddles",Nickel/Chrome,"Vintage-Style ""Lollipop""",4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Black (Orange Interior),,4-Bolt,Black,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,None,"4-Bolt Serialized with ""F"" Logo",,,,1-Ply White,,
22,Mustang® Bass PJ,749.00 €,Ontano,Mustang® Bass,Gloss Polyester,Maple,Gloss Urethane,"""C"" Shape","30"" (762 mm)",Pau Ferro,"9.5"" (241 mm)",19,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,Standard,Vintage-Style Single-Coil Jazz Bass®,,"Master Volume, Master Tone",SS,4-Saddle Standard,Nickel/Chrome,Fender® Vintage-Style,4-Ply Tortoiseshell,Black Plastic,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Optional Gig Bag (p/n 099-1521-206),None,,,"3/16"" Hex Adjustment",Vintage-Style Split Single-Coil Precision Bass®,"3-Position Toggle: Position 1. Bridge Pickup, Position 2. Bridge and Middle Pickups, Position 3. Middle Pickup",4-Bolt,"G&G Standard Mustang® Bass/Musicmaster™ Bass /Bronco™ Hardshell Case Bass, P/N 0996141406 (Not Included)",,,,,
23,American Ultra Jazz Bass® V,"2,719.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,Satin Urethane with Gloss Urethane Headstock Face,"Modern ""D""","34"" (86.36 cm)",Maple,"10"" to 14"" Compound Radius (254 mm to 355.6 mm)",21,Medium Jumbo,Bone,"1.875"" (47.6 mm)",Blocchetti Neri in Pearloid,Bi-Flex™,Ultra Noiseless™ Vintage Jazz Bass®,Ultra Noiseless™ Vintage Jazz Bass®,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Passive Tone, Active/Passive Mini Toggle",SS,5-Saddle HiMass™ (Toploaded),Nickel/Chrome,"Fender® ""F"" Light-Weight Vintage-Paddle Keys with Tapered Shafts",4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250-5M Nickel Plated Steel  (.045-.125 Gauges), PN 0737250456",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Elite Molded Case (Included),,5-Bolt,,,,None,5-Bolt,,,,Black,,
24,American Vintage II 1966 Jazz Bass®,"2,509.00 €",Ontano,Jazz Bass®,Gloss Nitrocellulose Lacquer,Maple,Gloss Nitrocellulose Lacquer,"1966 ""U""","34"" (86.36 cm)",Bound Round-Laminated Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.5"" (38.1 mm)",Bianchi a Punto in Pearloid - 7 mm,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,Pure Vintage 4-Saddle with Threaded Steel Saddles,Nickel/Chrome,Pure Vintage ‘Lollipop’,4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Black (Orange Interior),,4-Bolt,Black,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,None,"4-Bolt Serialized with ""F"" Logo",,,,1-Ply White,,
25,American Vintage II 1960 Precision Bass®,"2,499.00 €",Ontano,Precision Bass®,Gloss Nitrocellulose Lacquer,Maple,Gloss Nitrocellulose Lacquer,"1960 ""C""","34"" (86.36 cm)",Slab Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.70"" (43.2 mm)",Clay Dot,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",Split Single-Coil,Pure Vintage 4-Saddle with Threaded Steel Saddles,Nickel/Chrome,Pure Vintage Reverse Open-Gear,4-Ply Tortoiseshell,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Brown (Orange Interior),,4-Bolt,Vintage Clay,Vintage-Style Butt Adjust,Pure Vintage '60 Split-Coil Precision®,None,4-Bolt Serialized,,,,,,
26,Player Plus Active Meteora® Bass,"1,239.00 €",Ontano,Meteora®,Gloss Polyester,Maple,Satin Urethane with Gloss Urethane Headstock Face,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"12"" (305 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",Bianchi a Punto in Pearloid,"Single Action, Head Adjust",Fireball® Bass Humbucking,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",HH,4-Saddle Adjustable HiMass™,Nickel/Chrome,Standard Open-Gear,3-Ply Mint Green,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,,White,,Fireball® Bass Humbucking,Pan Pot,4-Bolt,,Active/Passive Mini-Toggle Switch,,,,
27,Player Plus Precision Bass®,"1,239.00 €",Ontano,Precision Bass®,Gloss Polyester,Maple,Satin Urethane,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"12"" (305 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",Bianchi a Punto in Pearloid,"Single Action, Head Adjust",Player Plus Noiseless™ Jazz Bass®,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",S,Fender HiMass™ with Chrome-Plated Zinc Saddles,Nickel/Chrome,Standard Open-Gear,3-Ply Mint Green,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,,White,,Player Plus Precision Bass®,Pan Pot,4-Bolt,"Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
28,Player Jaguar® Bass,909.00 €,Ontano,Jaguar® Bass,Gloss Polyester,Maple,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,Standard,Player Series Alnico 5 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Standard,Nickel/Chrome,Standard Open-Gear,3-Ply Parchment,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,None,,White,"3/16"" Hex Adjustment",Player Series Alnico 5 Split Single-Coil Precision Bass®,None,"4-Bolt with ""F"" Logo","G&G Standard Jazz Bass®/Jaguar Bass® Hardshell Case, P/N 0996172306 (Not Included)",,,,,
