,Product Name,Price,Model Name,Item Number,Guitar Color Shown,Tuners,Fretboard Material,Neck Material,Inlays,Side Dot Markers,Scale,Neck Shape,Thickness,Frets,Fretboard Radius,Nut,Nut Width,Truss Rod,Guitar Colors,Hardware Color,Top Contour,Dexterity,Construction,Body Material,Top Material,Bridge,Controls,Bridge Pickup,Neck Pickup,Knobs,Strings,Case,Binding,Battery Compartment,Middle Pickup
10,Corsair Bass," $1,149.00 ",Corsair Bass,1550,Gloss Black,WSC KG700 Light Weight Vintage,Ebony,Maple 3-pc w/ Carbon Fiber Reinforcement Rods,Pearloid Blocks,,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",20 Narrow X-Jumbo,"16"" (406mm)",Graph Tech XL Black Tusq,"1.496"" (38mm)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Gloss Black (BLK),Chrome,Arched Top,Right Handed,Set-Neck,Maple,,Tune-O-Matic & Tailpiece Bass,Master Volume/Blend/2-Band EMG Active E/Q,EMG TBHZ,EMG TBHZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),,Cream Multi-ply,9-volt Clip-in Battery Compartment,
11,CV-4, $749.00 ,CV-4,2490,,Schecter Light-Weight,Rosewood,Maple w/ Carbon Fiber Reinforcement Rods,Offset Dots,,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .905"" (23mm)",22 Narrow X-Jumbo,"10"" (254mm)",Graph Tech XL Ivory Tusq,"1.653"" (42mm)","2-Way Adjustable Rod w/ Heel Access 5/32"" (4mm) Allen Nut",Gloss Natural (GNAT),Chrome,Flat Top,Right Handed,6 Bolt-on,Ash,,S-Tek,Volume/Tone/3-Way Switch/3-Way Series-Split-Parallel Pickup Switches,Schecter Diamond J-Bucker,Schecter Diamond J-Bucker,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,,,
12,Dale Stewart Bass," $1,199.00 ",Dale Stewart Bass,217,Gloss Black,Schecter,Rosewood,Maple 3-pc,Tribal Bugs w/Dragon at 12th Fret,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Gloss Black,Black,Arched Top,Right Handed,Set-Neck w/Ultra Access,Mahogany,,Hipshot 'A' Style Bass with String Thru Body or Top Load,Master Volume/Blend/2-Band EMG Active E/Q,EMG 35HZ,EMG 35HZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),,Creme 1-ply,9-volt Clip-in Battery Compartment,
13,dUg Pinnick Baron-H Bass, $999.00 ,dUg Pinnick Baron-H Bass,262,Gloss Black,Grover Vintage Bass 142 Series,Rosewood,Maple,Creme Dots w/dUg at 12th Fret,,"35"" (889 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",22 X Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Gloss Black,Chrome,Flat Top,Right Handed,Bolt-on,Mahogany,,WSC THD4 Bass Bridge,Volume,Seymour Duncan Pro Active APB-1,,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),,Creme 1-ply,9-volt Clip-in Battery Compartment,
14,dUg Pinnick Baron-H Bass LH," $1,049.00 ",dUg Pinnick Baron-H Bass LH,263,Gloss Black,Grover Vintage Bass 142 Series,Rosewood,Maple,Creme Dots w/dUg at 12th Fret,,"35"" (889 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",22 X Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Gloss Black,Chrome,Flat Top,Left Handed,Bolt-on,Mahogany,,WSC THD4 Bass Bridge,Volume,Seymour Duncan Pro Active APB-1,,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),,Creme 1-ply,9-volt Clip-in Battery Compartment,
15,FreeZesicle-4," $1,399.00 ",FreeZesicle-4,2297,Freeze Purple,Grover Bass with Vintage Keys,Ebony,Canadian Rock Maple with Carbon Fiber Reinforcement Rods,Gold Pearloid Crown at 12th Fret & Heart at 19th Fret,White Dots,"34""","""C""",@ 1st Fret- 21mm)/ @ 12th Fret- 23mm,24 Narrow Jumbo,"12""",Graph Tech XL Black Tusq,38mm,,Freeze Purple,Gold,Flat Top with Bevel,Right Handed,Bolt-on,Swamp Ash,,Gold Schecter Custom fully-adjustable Top-load or String-thru,Master Volume/ Master Tone/ EMG 3-Band B64 EQ,White EMG 35J,White EMG 35P,Metal Dome w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,18-volt w/Screw Plate,
16,Hellcat-VI, $999.00 ,Hellcat-VI,294,,Grover Vintage Deluxe,Pau Ferro,Maple w/ Carbon Fiber Reinforcement Rods,Mother of Pear Dots,,"30"" (762mm)","""C""","@ 1st Fret- .826"" (21mm)/ @ 12th Fret- .905"" (23mm)",22 X-Jumbo,"12"" (305mm)",Graph Tech Tusq XL,"1.653"" (42mm)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Ivory Pearl (IVYP),Nickel,Flat Top,Right Handed,Bolt-on,Swamp Ash,,TonePros System w/Custom Brass Saddles,Volume/Tone/5-Way Pickup Switch/3 On-Off Coil Split Slider Switches,Schecter USA MonsterTone Stack,Schecter USA MonsterTone Stack,Retro Knob,Ernie Ball Hellcat VI Custom Strings (90-75-56-44-34-24),,Ivory 1-ply,,Schecter USA MonsterTone Stack
17,Hellraiser Extreme-4," $1,199.00 ",Hellraiser Extreme-4,1909,Crimson Red Burst Satin (CRBS),Grover,Ebony,Maple/Walnut Multi-ply,MOP Gothic Crosses,,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",24 X-Jumbo,"16"" (406mm)",Graph Tech XL Black Tusq,"1.496"" (38mm)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",See-Thru Black Satin (STBLS),Black Chrome,Arched Top,Right Handed,Neck-Thru w/Ultra Access,Mahogany,Quilted Maple,Schecter Custom Bass String Thru (or Top Load),Volume (Push-Pull)/Volume (Push-Pull)/ Active EMG 3-Band EQ,EMG 35TW,EMG 35TW,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,MOP w/ BLK/WHT/BLK Multi-ply,18-volt w/Screw Plate,
18,Hellraiser Extreme-4 LH," $1,249.00 ",Hellraiser Extreme-4 LH,1912,Crimson Red Burst Satin,Grover,Ebony,Maple/Walnut Multi-ply,Mother of Pearl Gothic Crosses,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Crimson Red Burst Satin,Black Chrome,Arched Top,Left Handed,Neck-Thru w/Ultra Access,Mahogany,Quilted Maple,Schecter Custom Bass String Thru (or Top Load),Volume (Push-Pull)/Volume (Push-Pull)/ Active EMG 3-Band EQ,EMG 35TW,EMG 35TW,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Mother of Pearl with BLK/WHT/BLK Multi-ply,18-volt w/Screw Plate,
19,J-4, $899.00 ,J-4,2910,Sea Foam Green (SFG),Schecter,Maple,Maple,Black Offset/Reverse Dots,,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",21 Narrow X-Jumbo,"16"" (406mm)",Graph Tech XL Ivory Tusq,"1.496"" (38mm)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Sea Foam Green (SFG),Black,Flat Top,Right Handed,Bolt-on,Alder,,Schecter Custom Bass String Thru (or Top Load),Volume/Volume/Tone (Push-Pull Coil-Tap),Schecter USA MonsterTone-J™,Schecter USA MonsterTone-J™,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,,
20,J-4 Exotic," $1,199.00 ",J-4 Exotic,2926,Faded Vintage Sunburst,WSC KG400,Roasted Maple,Roasted Maple w/ Carbon Fiber Reinforcement Rods,3pc Blocks,Luminlay Glow in the Dark,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",21 Narrow X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Faded Vintage Sunburst,Black,Flat Top,Right Handed,Bolt-on,Swamp Ash,Zebrawood,Schecter High Mass Bass String Thru (or Top Load),Master Volume/Blend/2-Band EMG Active E/Q,EMG Metal Works LJ,EMG Metal Works SJ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,9-volt Clip-in Battery Compartment,
21,J-4 LH, $949.00 ,J-4 LH,2914,Sea Foam Green,Schecter,Maple,Maple,Black Offset/Reverse Dots,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",21 Narrow X-Jumbo,"16"" (406MM)",Graph Tech XL Ivory Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Sea Foam Green,Black,Flat Top,Left Handed,Bolt-on,Alder,,Schecter Custom Bass String Thru (or Top Load),Volume/Volume/Tone (Push-Pull Coil-Tap),Schecter USA MonsterTone-J™,Schecter USA MonsterTone-J™,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,,
22,J-4 Sixx," $1,099.00 ",J-4 Sixx,355,Worn Ivory,Schecter,Roasted Maple,Roasted Maple w/ Carbon Fiber Reinforcement Rods,Black Offset/Reverse Dots,Glow In The Dark,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",21 Narrow X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Worn Ivory,Black,Flat Top,Right Handed,Bolt-on,Alder,,Schecter Custom Bass String Thru (or Top Load),Volume/Volume/Tone (Push-Pull Coil-Tap),Schecter USA MonsterTone-J™,Schecter USA MonsterTone-J™,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,,
23,JD DeServio J-4," $1,199.00 ",JD DeServio J-4,84,Gloss Black with 'BLS' Distressed Flag,WSC KG400,Ebony,Maple w/ Carbon Fiber Reinforcement Rods,JD Design at 12th Fret,Luminlay Glow in the Dark,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",22 X Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Gloss Black with 'BLS' Distressed Flag,Black Chrome,Flat Top,Right Handed,Bolt-on,Alder,,Hipshot 'A' Style Bass w/ String Thru Body or Top Load,Volume/Volume/Tone (Push-Pull Coil-Tap),Schecter USA MonsterTone-J™,Schecter USA MonsterTone-J™,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,,
24,Johnny Christ Bass," $1,299.00 ",Johnny Christ Bass,213,Satin Black,Grover,Ebony,Maple,Gold Bone Crosses w/Deathbat at 12th Fret,,"34"" (864 MM)","""C""","1st Fret- .866"" (22MM), 12th Fret- .925"" (23.5MM)",21 Narrow X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.653"" (42MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Satin Black,Gold,Flat Top,Right Handed,Bolt-on,Ash,,Schecter Custom Bass String Thru (or Top Load),Master Volume/Blend/2-Band EMG Active E/Q,EMG MMCS,EMG 81,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,9-volt Clip-in Battery Compartment,
25,Johnny Christ Bass LH," $1,349.00 ",Johnny Christ Bass LH,212,Satin Black,Grover,Ebony,Maple,Gold Bone Crosses w/Deathbat at 12th Fret,,"34"" (864 MM)","""C""","1st Fret- .866"" (22MM), 12th Fret- .925"" (23.5MM)",21 Narrow X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.653"" (42MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Satin Black,Gold,Flat Top,Left Handed,Bolt-on,Ash,,Schecter Custom Bass String Thru (or Top Load),Master Volume/Blend/2-Band EMG Active E/Q,EMG MMCS,EMG 81,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,9-volt Clip-in Battery Compartment,
26,Justin Beck V Ani," $1,149.00 ",Justin Beck V Ani,2664,Gloss Natural,Schecter Vintage Open-Gear,Hard Rock Maple,Hard Rock Maple with 2 Carbon Fiber Reinforcement Rods,"Black Blocks with ""1993"" at 12th Fret",Luminlay with Black Circle,"34""","Thin ""C""","1st Fret 0.787"" (20mm) - 12th Fret 0.866"" (22mm)",21 X-Jumbo,"12""",Graph Tech XL Black Tusq,38mm,2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Gloss Natural,,Flat Top,Right Handed,Bolt-on,Swamp Ash,,Schecter Custom Fully Adjustable Top Load or String-Thru,Master Volume/ Master Tone (Push/ Pull for Coil Tap)/ 3-Way Toggle Switch,Schecter USA MonsterTone-J™,Schecter USA MonsterTone-P,,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,,
27,Michael Anthony Bass," $1,199.00 ",Michael Anthony Bass,268,Carbon Grey,WSC KG400,Rosewood,Maple/Walnut Multi-ply,Creme Dots,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",21 X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Carbon Grey,Black,Flat Top,Right Handed,Bolt-on,Alder,,WSC THD4 Bass Bridge,Volume/Tone/3-Way Switch,Schecter USA MonsterTone-J™ (MA),Schecter USA MonsterTone-P™ (MA),Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Creme 1-ply,,
28,Michael Anthony MA-4 Bass," $1,399.00 ",Michael Anthony MA-4 Bass,451,Gloss Natural,WSC KG400,Rosewood,Maple/Walnut Multi-ply,Pearloid Dots,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",21 X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Gloss Natural,Black,Flat Top,Right Handed,Bolt-on,Swamp Ash,Koa,WSC THD4 Bass Bridge,Volume/Tone/3-Way Switch,Schecter USA MonsterTone-J™ (MA),Schecter USA MonsterTone-P™ (MA),Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Black 1-ply,,
29,Model-T 4 Exotic," $1,199.00 ",Model-T 4 Exotic Black Limba,2832,Natural Satin,WSC KG400,Ebony,Roasted Maple,Abalone 3-pc Blocks,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .888"" (22.5MM)",21 Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4MM) Allen Nut w/ Heel Access",Natural Satin,Black,Flat Top,Right Handed,Bolt-on,Black Limba,,Schecter Custom Bass Bridge String Thru,Volume/Volume/Tone,Schecter MonsterTone-J,Schecter MonsterTone-P,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Black 1-ply,,
30,Model-T 4 Exotic LH," $1,249.00 ",Model-T 4 Exotic LH,2836,Natural Satin,WSC KG400,Ebony,Roasted Maple,Abalone 3-pc Blocks,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .888"" (22.5MM)",21 Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Natural Satin,Black,Flat Top,Left Handed,Bolt-on,Black Limba,,Schecter Custom Bass Bridge String Thru,Volume/Volume/Tone,Schecter MonsterTone-J,Schecter MonsterTone-P,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Black 1-ply,,
31,Model-T 4 Exotic Ziricote," $1,199.00 ",Model-T 4 Exotic Ziricote,2834,Natural Satin,WSC KG400,Roasted Maple,Roasted Maple,Black 3-pc Blocks,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .888"" (22.5MM)",21 Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Natural Satin,Black,Flat Top,Right Handed,Bolt-on,Black Limba,Ziricote,Schecter Custom Bass String Thru (or Top Load),Volume/Volume/Tone,Schecter MonsterTone-J,Schecter MonsterTone-P,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Black 1-ply,,
32,Model-T Session, $849.00 ,Model-T Session,2848,Aged Natural Satin,Grover Vintage Bass 142 Series,Maple,Maple,Ebony Side Blocks,Ebony Side Blocks,"34"" (864 MM)","Thin ""C""","1st Fret- .826"" (21MM), 12th Fret- .905"" (23MM)",22 Narrow X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.653"" (42MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Aged Natural Satin,Black,Flat Top,Right Handed,Bolt-on,Swamp Ash,,Schecter Custom Bass String Thru (or Top Load),Master Volume/Blend/2-Band EMG Active E/Q,EMG J,EMG P,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,18-volt w/Screw Plate,
